z;U
20;3.8
22;3.9
24;3.9
26;3.3
28;2.6
30;2.7
32;3.5
34;3.8
36;3.8
38;3.6
40;3.8
42;3.7
44;3.1
46;2.7
48;2.9
50;3.2
52;3.8
54;4.2
56;4.2
58;4.1
60;3.6
62;3.2
64;3.2
66;3.5
68;4.1
70;3.9
72;3.8
74;3.3
76;3.2
78;3.1
80;3.0
82;3.9
84;3.5
86;3.6
88;3.4
90;3.0
92;2.9
94;2.8
96;2.7
98;2.8
100;2.9
102;3.2
104;3.2
106;3.3
108;3.0
110;2.9
112;2.7
114;2.9
116;3.2
118;3.6
120;2.4
122;3.1
124;2.7
126;2.6
128;2.3
130;2.4
132;2.3
134;2.8
136;3.1
138;2.8
140;2.4
142;2.4
144;2.5
146;2.6
148;2.5
150;2.8
152;3.1
154;2.8
156;2.3
158;1.8
160;1.9
162;1.7
164;2.0
166;2.1
168;2.3
170;2.3
172;2.0
174;1.7
176;1.6
178;1.8
180;1.7
