z;U
46;6.3
47;
48;2.4
49;
50;
51;4.1
52;5.1
53;5.9
54;6.1
55;6.5
56;
57;
58;
59;7.2
60;
61;7.2
62;
63;5.1
64;
65;
66;
67;3.4
68;
69;5.6
70;
71;6.1
72;
73;6.7
74;
75;
76;7.5
77;7.3
78;6.9
79;6.5
80;
81;
82;3.3
83;
84;5.2
85;
86;
87;
88;
89;
90;
91;
92;
93;
94;
95;
96;5.0
97;
98;1.9
99;
100;
101;5.0
102;5.8
103;5.9
104;5.9
105;
106;
107;7.0
108;
109;7.4
110;
111;6.9
112;
113;6.0
114;
115;
116;3.1
117;4.7
118;5.7
119;5.9
120;
121;
122;5.8
123;
124;6.8
125;
126;
127;
128;
129;
130;
131;
132;
133;
134;
135;
136;5.2
137;
138;6.2
139;
140;
141;
142;7.4
143;
144;6.0
